date,season,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
1946-11-01,21946,1610610035,1610612752,Toronto Huskies,New York Knicks,66.0,68.0
1946-11-02,21946,1610610034,1610610031,St. Louis Bombers,Pittsburgh Ironmen,56.0,51.0
1946-11-02,21946,1610610032,1610612738,Providence Steamrollers,Boston Celtics,59.0,53.0
1946-11-02,21946,1610610025,1610612752,Chicago Stags,New York Knicks,63.0,47.0
1946-11-02,21946,1610610028,1610610036,Detroit Falcons,Washington Capitols,33.0,50.0
1946-11-03,21946,1610610026,1610610035,Cleveland Rebels,Toronto Huskies,71.0,60.0
1946-11-04,21946,1610610031,1610610036,Pittsburgh Ironmen,Washington Capitols,56.0,71.0
1946-11-05,21946,1610612738,1610610025,Boston Celtics,Chicago Stags,55.0,57.0
1946-11-05,21946,1610610028,1610610034,Detroit Falcons,St. Louis Bombers,49.0,53.0
1946-11-07,21946,1610610032,1610610025,Providence Steamrollers,Chicago Stags,73.0,65.0
1946-11-07,21946,1610610034,1610612752,St. Louis Bombers,New York Knicks,63.0,68.0
1946-11-07,21946,1610612744,1610610031,Philadelphia Warriors,Pittsburgh Ironmen,81.0,75.0
1946-11-08,21946,1610610035,1610610028,Toronto Huskies,Detroit Falcons,73.0,71.0
1946-11-09,21946,1610610034,1610610036,St. Louis Bombers,Washington Capitols,70.0,69.0
1946-11-09,21946,1610610032,1610610031,Providence Steamrollers,Pittsburgh Ironmen,76.0,66.0
1946-11-09,21946,1610610025,1610610035,Chicago Stags,Toronto Huskies,64.0,54.0
1946-11-09,21946,1610610028,1610612738,Detroit Falcons,Boston Celtics,69.0,46.0
1946-11-10,21946,1610610026,1610610036,Cleveland Rebels,Washington Capitols,92.0,68.0
1946-11-11,21946,1610612752,1610610025,New York Knicks,Chicago Stags,68.0,78.0
1946-11-11,21946,1610610031,1610610032,Pittsburgh Ironmen,Providence Steamrollers,84.0,71.0
