threshold,date,home_team,away_team,bet_team,bet_side,bet_odds,model_prob,market_prob,model_edge,expected_value,kelly,fractional_kelly,bet_size,result,profit,bankroll,running_peak,drawdown
0.03,1946-11-09,Providence Steamrollers,Pittsburgh Ironmen,Pittsburgh Ironmen,away,3.267396978180948,0.3157693541594969,0.3060540260879865,0.009715328071510432,0.03174383358288979,0.014000121676247774,0.0014000121676247775,10.0,Loss,-10.0,990.0,990.0,0.0
0.03,1946-11-09,St. Louis Bombers,Washington Capitols,Washington Capitols,away,2.0195711567576606,0.5180000734476562,0.4951546256015358,0.022845447846120415,0.04613800753323616,0.04525236637721264,0.004525236637721264,10.0,Loss,-10.0,980.0,990.0,-0.010101010101010102
0.03,1946-11-11,New York Knicks,Chicago Stags,Chicago Stags,away,2.1744345474034885,0.4835778684677998,0.45988967623518895,0.023688192232610872,0.05150842355612395,0.04385806230751804,0.004385806230751805,10.0,Win,11.744345474034885,991.7443454740348,991.7443454740348,0.0
0.03,1946-11-16,St. Louis Bombers,Cleveland Rebels,St. Louis Bombers,home,1.9773992512452316,0.5344139698559409,0.5057147661860739,0.028699203669867,0.05674978384812934,0.058062029181860604,0.005806202918186061,10.0,Win,9.773992512452317,1001.5183379864872,1001.5183379864872,0.0
0.03,1946-11-16,Chicago Stags,Washington Capitols,Chicago Stags,home,1.6795485286654235,0.6212718658055836,0.595398098317888,0.025873767487695543,0.043456248114990326,0.06394870459117138,0.006394870459117139,10.0,Loss,-10.0,991.5183379864872,1001.5183379864872,-0.009984839638687598
0.03,1946-11-18,Pittsburgh Ironmen,Toronto Huskies,Pittsburgh Ironmen,home,1.8296857624106517,0.5677264921433312,0.5465419366233017,0.021184555520029402,0.03876107961799574,0.04671778325492224,0.004671778325492224,10.0,Win,8.296857624106517,999.8151956105937,1001.5183379864872,-0.0017005603505149344
0.03,1946-11-19,Toronto Huskies,Cleveland Rebels,Cleveland Rebels,away,1.8020569090419307,0.5769061632502351,0.5549214317164118,0.0219847315338233,0.03961773735395824,0.049395169977754116,0.004939516997775412,10.0,Win,8.020569090419308,1007.835764701013,1007.835764701013,0.0
0.03,1946-11-20,Detroit Falcons,Pittsburgh Ironmen,Detroit Falcons,home,1.6830447702281943,0.6155324820117642,0.5941612592185624,0.021371222793201805,0.03596872475547991,0.05265939558173227,0.005265939558173227,10.0,Loss,-10.0,997.835764701013,1007.835764701013,-0.009922251571382391
0.03,1946-11-21,Philadelphia Warriors,Chicago Stags,Philadelphia Warriors,home,1.7387747809544,0.5923825157600721,0.5751176120987376,0.017264903661334485,0.03001977908193576,0.04063454770769807,0.004063454770769807,10.0,Loss,-10.0,987.835764701013,1007.835764701013,-0.019844503142764782
0.03,1946-11-23,Providence Steamrollers,St. Louis Bombers,St. Louis Bombers,away,1.9243172007887546,0.547449017830658,0.5196648450630239,0.02778417276763412,0.053465561566444886,0.057843304788465166,0.005784330478846517,10.0,Win,9.243172007887546,997.0789367089005,1007.835764701013,-0.010673195344782784
0.03,1946-11-24,Cleveland Rebels,Pittsburgh Ironmen,Pittsburgh Ironmen,away,2.7903065819163047,0.37072173141706666,0.3583835577355188,0.012338173681547882,0.03442728723244959,0.0192298277737433,0.00192298277737433,10.0,Loss,-10.0,987.0789367089005,1007.835764701013,-0.020595446916165175
0.03,1946-11-25,Boston Celtics,Providence Steamrollers,Boston Celtics,home,1.9374315989059299,0.5344599089621535,0.5161472542125881,0.018312654749565338,0.035479515971662656,0.03784757843993158,0.003784757843993158,10.0,Loss,-10.0,977.0789367089005,1007.835764701013,-0.030517698487547568
